00LU               20121204                                                                                   
0601LUA0d       20130101000725100000005000 0000007970001096   
0601LUA0d       20130101000730100000005000 0000008050001099   
0601LUA0d       20130101000735100000005000 0000008140001104   
0601LUA0d       20130101000740100000005000 0000008220001107   
0601LUA0d       20130101000745100000005000 0000008300001110   
0601LUA0d       20130101000750100000005000 0000008380001114   
0601LUA0d       20130101000755100000005000 0000008470001118   
0601LUA0d       20130101000760100000005000 0000008550001121   
0601LUA0d       20130101000765100000005000 0000008630001124   
0601LUA0d       20130101000770100000005000 0000008710001128   
0601LUA0d       20130101000775100000005000 0000008800001132   
0601LUA0d       20130101000780100000005000 0000008890001136   
0601LUA0d       20130101000785100000005000 0000008990001142   
0601LUA0d       20130101000790100000005000 0000009080001146   
0601LUA0d       20130101000795100000005000 0000009180001151   
0601LUA0d       20130101000800100000005000 0000009270001155   
0601LUA0d       20130101000805100000005000 0000009390001163   
0601LUA0d       20130101000810100000005000 0000009480001167   
0601LUA0d       20130101000815100000005000 0000009580001172   
0601LUA0d       20130101000820100000005000 0000009670001176   
0601LUA0d       20130101000825100000005000 0000009770001181   
0601LUA0d       20130101000830100000005000 0000009860001184   
0601LUA0d       20130101000835100000005000 0000009960001189   
0601LUA0d       20130101000840100000005000 0000010060001194   
0601LUA0d       20130101000845100000005000 0000010160001199   
0601LUA0d       20130101000850100000005000 0000010250001202   
0601LUA0d       20130101000855100000005000 0000010350001207   
0601LUA0d       20130101000860100000005000 0000010450001212   
0601LUA0d       20130101000865100000005000 0000010550001216   
0601LUA0d       20130101000870100000005000 0000010640001219   
0601LUA0d       20130101000875100000005000 0000010740001224   
0601LUA0d       20130101000880100000005000 0000010840001228   
0601LUA0d       20130101000885100000005000 0000010940001233   
0601LUA0d       20130101000890100000005000 0000011040001237   
0601LUA0d       20130101000895100000005000 0000011130001240   
0601LUA0d       20130101000900100000005000 0000011230001244   
0601LUA0d       20130101000905100000005000 0000011330001248   
0601LUA0d       20130101000910100000005000 0000011430001253   
0601LUA0d       20130101000915100000005000 0000011520001256   
0601LUA0d       20130101000920100000005000 0000011620001260   
0601LUA0d       20130101000925100000005000 0000011720001264   
0601LUA0d       20130101000930100000005000 0000011820001268   
0601LUA0d       20130101000935100000005000 0000011920001271   
0601LUA0d       20130101000940100000005000 0000012010001274   
0601LUA0d       20130101000945100000005000 0000012110001278   
0601LUA0d       20130101000950100000005000 0000012210001282   
0601LUA0d       20130101000955100000005000 0000012310001286   
0601LUA0d       20130101000960100000005000 0000012400001288   
0601LUA0d       20130101000965100000005000 0000012500001292   
0601LUA0d       20130101000970100000005000 0000012600001296   
0601LUA0d       20130101000975100000005000 0000012700001299   
0601LUA0d       20130101000980100000005000 0000012820001305   
0601LUA0d       20130101000985100000005000 0000012910001307   
0601LUA0d       20130101000990100000005000 0000013010001311   
0601LUA0d       20130101000995100000005000 0000013110001314   
0601LUA0d       20130101001000100000005000 0000013210001318   
0601LUA0d       20130101001005100000005000 0000013300001320   
0601LUA0d       20130101001010100000005000 0000013400001323   
0601LUA0d       20130101001015100000005000 0000013500001327   
0601LUA0d       20130101001020100000005000 0000013600001330   
0601LUA0d       20130101001025100000005000 0000013700001333   
0601LUA0d       20130101001030100000005000 0000013790001336   
0601LUA0d       20130101001035100000005000 0000013890001339   
0601LUA0d       20130101001040100000005000 0000013990001342   
0601LUA0d       20130101001045100000005000 0000014090001345   
0601LUA0d       20130101001050100000005000 0000014180001347   
0601LUA0d       20130101001055100000005000 0000014280001350   
0601LUA0d       20130101001060100000005000 0000014380001353   
0601LUA0d       20130101001065100000005000 0000014480001356   
0601LUA0d       20130101001070100000005000 0000014600001361   
0601LUA0d       20130101001075100000005000 0000014690001363   
0601LUA0d       20130101001080100000005000 0000014790001366   
0601LUA0d       20130101001085100000005000 0000014890001369   
0601LUA0d       20130101001090100000005000 0000015000001373   
0601LUA0d       20130101001095100000005000 0000015110001377   
0601LUA0d       20130101001100100000005000 0000015220001380   
0601LUA0d       20130101001105100000005000 0000015350001386   
0601LUA0d       20130101001110100000005000 0000015460001390   
0601LUA0d       20130101001115100000005000 0000015570001393   
0601LUA0d       20130101001120100000005000 0000015680001397   
0601LUA0d       20130101001125100000005000 0000015810001402   
0601LUA0d       20130101001130100000005000 0000015920001406   
0601LUA0d       20130101001135100000005000 0000016030001409   
0601LUA0d       20130101001140100000005000 0000016170001415   
0601LUA0d       20130101001145100000005000 0000016280001419   
0601LUA0d       20130101001150100000005000 0000016390001422   
0601LUA0d       20130101001155100000005000 0000016520001427   
0601LUA0d       20130101001160100000005000 0000016630001431   
0601LUA0d       20130101001165100000005000 0000016740001434   
0601LUA0d       20130101001170100000005000 0000016870001439   
0601LUA0d       20130101001175100000005000 0000016980001442   
0601LUA0d       20130101001180100000005000 0000017090001445   
0601LUA0d       20130101001185100000005000 0000017230001451   
0601LUA0d       20130101001190100000005000 0000017340001454   
0601LUA0d       20130101001195100000005000 0000017450001457   
0601LUA0d       20130101001200100000005000 0000017580001462   
0601LUA0d       20130101001205100000005000 0000017690001465   
0601LUA0d       20130101001210100000005000 0000017800001468   
0601LUA0d       20130101001215100000005000 0000017930001473   
0601LUA0d       20130101001220100000005000 0000018040001476   
0601LUA0d       20130101001225100000005000 0000018150001479   
0601LUA0d       20130101001230100000005000 0000018290001484   
0601LUA0d       20130101001235100000005000 0000018400001487   
0601LUA0d       20130101001240100000005000 0000018510001490   
0601LUA0d       20130101001245100000005000 0000018640001494   
0601LUA0d       20130101001250100000005000 0000018750001497   
0601LUA0d       20130101001255100000005000 0000018860001500   
0601LUA0d       20130101001260100000005000 0000018990001504   
0601LUA0d       20130101001265100000005000 0000019100001507   
0601LUA0d       20130101001270100000005000 0000019210001510   
0601LUA0d       20130101001275100000005000 0000019350001515   
0601LUA0d       20130101001280100000005000 0000019460001517   
0601LUA0d       20130101001285100000005000 0000019570001520   
0601LUA0d       20130101001290100000005000 0000019700001524   
0601LUA0d       20130101001295100000005000 0000019810001527   
0601LUA0d       20130101001300100000005000 0000019920001529   
0601LUA0d       20130101001305100000005000 0000020050001533   
0601LUA0d       20130101001310100000005000 0000020160001536   
0601LUA0d       20130101001315100000005000 0000020280001539   
0601LUA0d       20130101001320100000005000 0000020410001543   
0601LUA0d       20130101001325100000005000 0000020520001546   
0601LUA0d       20130101001330100000005000 0000020630001548   
0601LUA0d       20130101001335100000005000 0000020760001552   
0601LUA0d       20130101001340100000005000 0000020870001555   
0601LUA0d       20130101001345100000005000 0000020980001557   
0601LUA0d       20130101001350100000005000 0000021120001562   
0601LUA0d       20130101001355100000005000 0000021230001564   
0601LUA0d       20130101001360100000005000 0000021340001566   
0601LUA0d       20130101001365100000005000 0000021470001570   
0601LUA0d       20130101001370100000005000 0000021580001572   
0601LUA0d       20130101001375100000005000 0000021690001575   
0601LUA0d       20130101001380100000005000 0000021830001579   
0601LUA0d       20130101001385100000005000 0000021950001582   
0601LUA0d       20130101001390100000005000 0000022070001585   
0601LUA0d       20130101001395100000005000 0000022220001590   
0601LUA0d       20130101001400100000005000 0000022340001593   
0601LUA0d       20130101001405100000005000 0000022460001596   
0601LUA0d       20130101001410100000005000 0000022600001600   
0601LUA0d       20130101001415100000005000 0000022720001603   
0601LUA0d       20130101001420100000005000 0000022840001606   
0601LUA0d       20130101001425100000005000 0000022980001610   
0601LUA0d       20130101001430100000005000 0000023100001613   
0601LUA0d       20130101001435100000005000 0000023220001615   
0601LUA0d       20130101001440100000005000 0000023360001619   
0601LUA0d       20130101001445100000005000 0000023480001622   
0601LUA0d       20130101001450100000005000 0000023600001625   
0601LUA0d       20130101001455100000005000 0000023750001630   
0601LUA0d       20130101001460100000005000 0000023870001632   
0601LUA0d       20130101001465100000005000 0000023990001635   
0601LUA0d       20130101001470100000005000 0000024130001639   
0601LUA0d       20130101001475100000005000 0000024250001641   
0601LUA0d       20130101001480100000005000 0000024370001644   
0601LUA0d       20130101001485100000005000 0000024510001648   
0601LUA0d       20130101001490100000005000 0000024630001650   
0601LUA0d       20130101001495100000005000 0000024750001653   
0601LUA0d       20130101001500100000005000 0000024900001657   
0601LUA0d       20130101001505100000005000 0000025020001660   
0601LUA0d       20130101001510100000005000 0000025140001662   
0601LUA0d       20130101001515100000005000 0000025280001666   
0601LUA0d       20130101001520100000005000 0000025400001668   
0601LUA0d       20130101001525100000005000 0000025520001671   
0601LUA0d       20130101001530100000005000 0000025660001674   
0601LUA0d       20130101001535100000005000 0000025780001677   
0601LUA0d       20130101001540100000005000 0000025900001679   
0601LUA0d       20130101001545100000005000 0000026040001683   
0601LUA0d       20130101001550100000005000 0000026160001685   
0601LUA0d       20130101001555100000005000 0000026280001687   
0601LUA0d       20130101001560100000005000 0000026430001692   
0601LUA0d       20130101001565100000005000 0000026550001694   
0601LUA0d       20130101001570100000005000 0000026670001696   
0601LUA0d       20130101001575100000005000 0000026810001700   
0601LUA0d       20130101001580100000005000 0000026930001702   
0601LUA0d       20130101001585100000005000 0000027060001705   
0601LUA0d       20130101001590100000005000 0000027210001709   
0601LUA0d       20130101001595100000005000 0000027330001711   
0601LUA0d       20130101001600100000005000 0000027450001713   
0601LUA0d       20130101001605100000005000 0000027600001717   
0601LUA0d       20130101001610100000005000 0000027720001719   
0601LUA0d       20130101001615100000005000 0000027850001722   
0601LUA0d       20130101001620100000005000 0000027990001725   
0601LUA0d       20130101001625100000005000 0000028120001728   
0601LUA0d       20130101001630100000005000 0000028240001730   
0601LUA0d       20130101001635100000005000 0000028390001734   
0601LUA0d       20130101001640100000005000 0000028510001736   
0601LUA0d       20130101001645100000005000 0000028630001738   
0601LUA0d       20130101001650100000005000 0000028780001742   
0601LUA0d       20130101001655100000005000 0000028900001744   
0601LUA0d       20130101001660100000005000 0000029030001746   
0601LUA0d       20130101001665100000005000 0000029180001750   
0601LUA0d       20130101001670100000005000 0000029300001752   
0601LUA0d       20130101001675100000005000 0000029420001754   
0601LUA0d       20130101001680100000005000 0000029570001758   
0601LUA0d       20130101001685100000005000 0000029690001759   
0601LUA0d       20130101001690100000005000 0000029820001762   
0601LUA0d       20130101001695100000005000 0000029960001765   
0601LUA0d       20130101001700100000005000 0000030090001767   
0601LUA0d       20130101001705100000005000 0000030210001769   
0601LUA0d       20130101001710100000005000 0000030360001773   
0601LUA0d       20130101001715100000005000 0000030480001775   
0601LUA0d       20130101001720100000005000 0000030600001776   
0601LUA0d       20130101001725100000005000 0000030750001780   
0601LUA0d       20130101001730100000005000 0000030880001782   
0601LUA0d       20130101001735100000005000 0000031000001784   
0601LUA0d       20130101001740100000005000 0000031150001788   
0601LUA0d       20130101001745100000005000 0000031270001789   
0601LUA0d       20130101001750100000005000 0000031390001791   
0601LUA0d       20130101001755100000005000 0000031540001795   
0601LUA0d       20130101001760100000005000 0000031660001796   
0601LUA0d       20130101001765100000005000 0000031790001799   
0601LUA0d       20130101001770100000005000 0000031950001803   
0601LUA0d       20130101001775100000005000 0000032080001805   
0601LUA0d       20130101001780100000005000 0000032210001807   
0601LUA0d       20130101001785100000005000 0000032370001811   
0601LUA0d       20130101001790100000005000 0000032500001813   
0601LUA0d       20130101001795100000005000 0000032640001816   
0601LUA0d       20130101001800100000005000 0000032770001818   
0601LUA0d       20130101001805100000005000 0000032930001822   
0601LUA0d       20130101001810100000005000 0000033060001824   
0601LUA0d       20130101001815100000005000 0000033200001827   
0601LUA0d       20130101001820100000005000 0000033360001830   
0601LUA0d       20130101001825100000005000 0000033500001833   
0601LUA0d       20130101001830100000005000 0000033640001836   
0601LUA0d       20130101001835100000005000 0000033800001839   
0601LUA0d       20130101001840100000005000 0000033940001842   
0601LUA0d       20130101001845100000005000 0000034070001844   
0601LUA0d       20130101001850100000005000 0000034240001848   
0601LUA0d       20130101001855100000005000 0000034370001850   
0601LUA0d       20130101001860100000005000 0000034510001853   
0601LUA0d       20130101001865100000005000 0000034670001856   
0601LUA0d       20130101001870100000005000 0000034810001859   
0601LUA0d       20130101001875100000005000 0000034950001862   
0601LUA0d       20130101001880100000005000 0000035110001865   
0601LUA0d       20130101001885100000005000 0000035250001868   
0601LUA0d       20130101001890100000005000 0000035380001869   
0601LUA0d       20130101001895100000005000 0000035550001874   
0601LUA0d       20130101001900100000005000 0000035680001875   
0601LUA0d       20130101001905100000005000 0000035820001878   
0601LUA0d       20130101001910100000005000 0000035980001881   
0601LUA0d       20130101001915100000005000 0000036120001884   
0601LUA0d       20130101001920100000005000 0000036260001886   
0601LUA0d       20130101001925100000005000 0000036420001889   
0601LUA0d       20130101001930100000005000 0000036560001892   
0601LUA0d       20130101001935100000005000 0000036690001894   
0601LUA0d       20130101001940100000005000 0000036860001898   
0601LUA0d       20130101001945100000005000 0000036990001899   
0601LUA0d       20130101001950100000005000 0000037130001902   
0601LUA0d       20130101001955100000005000 0000037290001905   
0601LUA0d       20130101001960100000005000 0000037430001907   
0601LUA0d       20130101001965100000005000 0000037570001910   
0601LUA0d       20130101001970100000005000 0000037730001913   
0601LUA0d       20130101001975100000005000 0000037870001915   
0601LUA0d       20130101001980100000005000 0000038000001917   
0601LUA0d       20130101001985100000005000 0000038170001921   
0601LUA0d       20130101001990100000005000 0000038300001922   
0601LUA0d       20130101001995100000005000 0000038440001924   
0601LUA0d       20130101002000100000005000 0000038610001928   
0601LUA0d       20130101002005100000005000 0000038740001930   
0601LUA0d       20130101002010100000005000 0000038880001932   
0601LUA0d       20130101002015100000005000 0000039040001935   
0601LUA0d       20130101002020100000005000 0000039180001937   
0601LUA0d       20130101002025100000005000 0000039320001939   
0601LUA0d       20130101002030100000005000 0000039480001942   
0601LUA0d       20130101002035100000005000 0000039620001945   
0601LUA0d       20130101002040100000005000 0000039750001946   
0601LUA0d       20130101002045100000005000 0000039920001950   
0601LUA0d       20130101002050100000005000 0000040050001951   
0601LUA0d       20130101002055100000005000 0000040190001953   
0601LUA0d       20130101002060100000005000 0000040350001956   
0601LUA0d       20130101002065100000005000 0000040490001958   
0601LUA0d       20130101002070100000005000 0000040630001960   
0601LUA0d       20130101002075100000005000 0000040790001963   
0601LUA0d       20130101002080100000005000 0000040930001965   
